Date : 2025-06-15 08:47:44
Directory : /Users/nghiaxir/Desktop/vit-client
Total : 141 files,  7386 codes, 61 comments, 650 blanks, all 8097 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         65 |      5,490 |         38 |        385 |      5,913 |
| TypeScript         |         30 |      1,071 |         22 |        125 |      1,218 |
| SCSS               |         36 |        698 |          0 |        128 |        826 |
| JSON               |          5 |         64 |          0 |          3 |         67 |
| JSON with Comments |          1 |         30 |          0 |          1 |         31 |
| JavaScript         |          2 |         13 |          1 |          3 |         17 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          1 |          7 |          0 |          4 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        141 |      7,386 |         61 |        650 |      8,097 |
| . (Files)                                                                                         |          9 |        131 |          2 |         14 |        147 |
| src                                                                                               |        132 |      7,255 |         59 |        636 |      7,950 |
| src (Files)                                                                                       |          3 |         24 |          1 |          6 |         31 |
| src/assets                                                                                        |          4 |         13 |          0 |          4 |         17 |
| src/assets/lotties                                                                                |          2 |          2 |          0 |          0 |          2 |
| src/assets/scss                                                                                   |          2 |         11 |          0 |          4 |         15 |
| src/components                                                                                    |         26 |        805 |          6 |        108 |        919 |
| src/components (Files)                                                                            |          1 |          9 |          0 |          1 |         10 |
| src/components/ArrowButton                                                                        |          2 |         87 |          5 |         15 |        107 |
| src/components/Card                                                                               |          2 |         39 |          0 |          5 |         44 |
| src/components/Carousel                                                                           |          2 |         59 |          0 |          9 |         68 |
| src/components/Dropdown                                                                           |          2 |         70 |          0 |          8 |         78 |
| src/components/Footer                                                                             |          2 |         20 |          0 |          5 |         25 |
| src/components/Header                                                                             |          3 |        205 |          0 |         26 |        231 |
| src/components/Layout                                                                             |          3 |         40 |          1 |          8 |         49 |
| src/components/Loading                                                                            |          2 |         32 |          0 |          5 |         37 |
| src/components/LoginButton                                                                        |          2 |         86 |          0 |          9 |         95 |
| src/components/Sidebar                                                                            |          2 |         98 |          0 |          9 |        107 |
| src/components/Swiper                                                                             |          3 |         60 |          0 |          8 |         68 |
| src/components/Swiper (Files)                                                                     |          1 |          1 |          0 |          1 |          2 |
| src/components/Swiper/SlidesPerView                                                               |          2 |         59 |          0 |          7 |         66 |
| src/constants                                                                                     |          4 |         79 |         19 |          9 |        107 |
| src/pages                                                                                         |         74 |      5,369 |         30 |        398 |      5,797 |
| src/pages (Files)                                                                                 |          1 |         19 |          0 |          1 |         20 |
| src/pages/Activity                                                                                |          8 |        545 |          0 |         35 |        580 |
| src/pages/Activity (Files)                                                                        |          2 |         48 |          0 |          8 |         56 |
| src/pages/Activity/ActivityDetail                                                                 |          2 |        320 |          0 |         14 |        334 |
| src/pages/Activity/components                                                                     |          4 |        177 |          0 |         13 |        190 |
| src/pages/Admin                                                                                   |         26 |      2,353 |          1 |        152 |      2,506 |
| src/pages/Admin/Activity                                                                          |         12 |      1,348 |          0 |         71 |      1,419 |
| src/pages/Admin/Activity (Files)                                                                  |          2 |        311 |          0 |         19 |        330 |
| src/pages/Admin/Activity/components                                                               |          5 |        934 |          0 |         44 |        978 |
| src/pages/Admin/Activity/constants                                                                |          1 |          8 |          0 |          1 |          9 |
| src/pages/Admin/Activity/types                                                                    |          1 |         19 |          0 |          2 |         21 |
| src/pages/Admin/Activity/utils                                                                    |          3 |         76 |          0 |          5 |         81 |
| src/pages/Admin/Club                                                                              |          1 |          8 |          0 |          4 |         12 |
| src/pages/Admin/Dashboard                                                                         |          2 |        188 |          1 |         22 |        211 |
| src/pages/Admin/Department                                                                        |          2 |          9 |          0 |          5 |         14 |
| src/pages/Admin/Event                                                                             |          2 |          9 |          0 |          5 |         14 |
| src/pages/Admin/Group                                                                             |          2 |          9 |          0 |          5 |         14 |
| src/pages/Admin/Member                                                                            |          5 |        782 |          0 |         40 |        822 |
| src/pages/Admin/Member (Files)                                                                    |          2 |        546 |          0 |         29 |        575 |
| src/pages/Admin/Member/components                                                                 |          2 |        202 |          0 |          7 |        209 |
| src/pages/Admin/Member/types                                                                      |          1 |         34 |          0 |          4 |         38 |
| src/pages/Auth                                                                                    |          5 |        510 |          0 |         45 |        555 |
| src/pages/Auth (Files)                                                                            |          1 |         78 |          0 |         13 |         91 |
